Results
Start date ,2011-01-26
End date ,2011-09-17
Option Type ,C
Expiry date ,2011-09-17
Strike price ,500


Date,Stock Price,Option Price,Implied Volatility,Delta,Hedging error,Cumulative hedging error,PNL
20110713,538.26,49.3,0.284099,0.745092,9.24038,797.175,-82.5
20110714,528.94,41.15,0.269269,0.70692,10.444,807.619,-90.65
20110715,597.62,99.65,0.278301,0.940819,0.493285,808.112,-32.15
20110718,594.94,97.65,0.296976,0.9265,-0.0308613,808.081,-34.15
20110719,602.55,103.8,0.263044,0.960371,0.867107,808.949,-28
20110720,595.35,97.8,0.296121,0.931982,-0.0507597,808.898,-34
20110721,606.99,108.15,0.272198,0.964345,0.444062,809.342,-23.65
20110722,618.23,118.7,0.244918,0.98614,0.72951,810.071,-13.1
20110725,618.98,119.95,0.290324,0.97168,0.215224,810.287,-11.85
20110726,622.52,123.25,0.282939,0.978699,0.351152,810.638,-8.55
20110727,607.22,108.65,0.300577,0.957789,-0.0269974,810.611,-23.15
20110728,610.94,112.1,0.298318,0.965077,0.0820382,810.693,-19.7
20110729,603.69,106.8,0.364779,0.924763,-1.61875,809.074,-25
20110801,606.77,107.65,0.281291,0.971385,0.375924,809.45,-24.15
20110802,592.4,95.05,0.334143,0.925751,-0.987086,808.463,-36.75
20110803,601.17,103.3,0.341893,0.939781,-1.12132,807.342,-28.5
20110804,577.52,83.35,0.389557,0.866244,-3.40008,803.942,-48.45
20110805,579.04,85.2,0.40811,0.863862,-3.93539,800.006,-46.6
20110808,546.02,61.8,0.471519,0.733497,-9.06195,790.944,-70
20110809,573.41,77.45,0.351902,0.886537,-4.62313,786.321,-54.35
20110810,549.01,60.7,0.430874,0.765336,-9.50653,776.815,-71.1
20110811,562.13,69.15,0.398833,0.832294,-7.91664,768.898,-62.65
20110812,563.77,70.4,0.403655,0.839283,-7.8033,761.095,-61.4
20110815,557.23,62.7,0.360141,0.8445,-5.594,755.501,-69.1
20110816,539,47.35,0.35477,0.770895,-5.64121,749.859,-84.45
20110817,533.15,41.8,0.340551,0.750626,-4.60272,745.257,-90
20110818,504.88,26.9,0.411588,0.556219,-10.9247,734.332,-104.9
20110819,490.92,19.35,0.413785,0.462949,-11.1405,723.191,-112.45
20110822,498.17,20.5,0.38144,0.508087,-8.93501,714.256,-111.3
20110823,518.82,30.65,0.355198,0.665812,-8.59388,705.663,-101.15
20110824,523.29,33.85,0.368014,0.695977,-8.81899,696.844,-97.95
20110825,520.04,33.35,0.413969,0.662712,-10.5824,686.261,-98.45
